0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:41:09 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:43:28 -0300] "GET /Escola/CadastroResponsaveis HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:43:28 -0300] "GET /Escola/resources/scripts/script-cadastro-responsaveis.js HTTP/1.1" 200 2640
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:43:32 -0300] "GET /Escola/CadastroResponsaveis HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:43:33 -0300] "GET /Escola/resources/scripts/script-cadastro-responsaveis.js HTTP/1.1" 200 2640
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:43:33 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:43:44 -0300] "GET /Escola/CadastroResponsaveis HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:43:44 -0300] "GET /Escola/resources/scripts/script-cadastro-responsaveis.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:43:44 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:45:18 -0300] "GET /Escola/CadastroResponsaveis HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:45:31 -0300] "GET /Escola/CadastroResponsaveis HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:45:31 -0300] "GET /Escola/resources/scripts/script-cadastro-responsaveis.js HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:45:31 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:45:38 -0300] "GET /Escola/CadastroResponsaveis HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:45:38 -0300] "GET /Escola/resources/scripts/script-cadastro-responsaveis.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:45:38 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:45:39 -0300] "GET /Escola/CadastroResponsaveis HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:45:39 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:46:01 -0300] "POST /Escola/CadastroResponsaveis HTTP/1.1" 200 2591
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:46:01 -0300] "GET /Escola/resources/scripts/script-cadastro-responsaveis.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:46:01 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:46:04 -0300] "POST /Escola/CadastroResponsaveis HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:46:04 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:46:05 -0300] "POST /Escola/CadastroResponsaveis HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:46:05 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:50:46 -0300] "GET /Escola/CadastroAlunos HTTP/1.1" 200 2798
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:50:51 -0300] "GET /Escola/CadastroAlunos HTTP/1.1" 200 2798
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:50:52 -0300] "GET /Escola/resources/scripts/script-cadastro-alunos.js HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:50:52 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:51:16 -0300] "POST /Escola/CadastroAlunos HTTP/1.1" 200 2974
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:51:16 -0300] "GET /Escola/resources/scripts/script-cadastro-alunos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2015:09:51:16 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
